Binomial	ID	year	popvalue
Pterocles_namaqua	6053	1950	47.5
Pterocles_namaqua	6053	1951	69.5
Pterocles_namaqua	6053	1952	5
Pterocles_namaqua	6053	1953	108
Pterocles_namaqua	6053	1954	175.3
Pterocles_namaqua	6053	1955	19
Pterocles_namaqua	6053	1956	30.2
Pterocles_namaqua	6053	1957	10.6
Pterocles_namaqua	6053	1958	56.1
Pterocles_namaqua	6053	1959	16.4
Pterocles_namaqua	6053	1960	4
Pterocles_namaqua	6053	1961	1.6
Pterocles_namaqua	6053	1962	72.5
Struthio_camelus	9820	1962	300
Pterocles_namaqua	6053	1963	5.5
Pterocles_namaqua	6053	1964	13.5
Leptoptilos_crumenifer	4715	1965	520
Pterocles_namaqua	6053	1965	0
Pterocles_namaqua	6053	1966	0
Pterocles_namaqua	6053	1967	33.7
Acrocephalus_sechellensis	8745	1967	25
Struthio_camelus	9948	1967	158
Pterocles_namaqua	6053	1968	18.4
Struthio_camelus	9955	1968	58
Struthio_camelus	9959	1968	32
Pterocles_namaqua	6053	1969	30.3
Pterocles_namaqua	6053	1970	1
Acrocephalus_sechellensis	8745	1970	40
Gyps_africanus	21	1971	60
Necrosyrtes_monachus	24	1971	4.1
Torgos_tracheliotos	26	1971	0.5
Trigonoceps_occipitalis	27	1971	0.6
Balearica_regulorum	4707	1971	97
Pterocles_namaqua	6053	1971	2
Pterocles_namaqua	6053	1972	4.3
Acrocephalus_sechellensis	8745	1972	75
Falco_punctatus	5	1973	1
Psittacula_eques	25	1973	59
Pterocles_namaqua	6053	1973	31
Acrocephalus_sechellensis	8745	1973	205
Falco_punctatus	5	1974	1
Psittacula_eques	25	1974	59
Corvus_albus	4704	1974	735
Milvus_migrans	4705	1974	212
Necrosyrtes_monachus	4706	1974	212
Pterocles_namaqua	6053	1974	0
Falco_punctatus	5	1975	1
Gyps_coprotheres	7	1975	685
Gyps_coprotheres	8	1975	1206
Gyps_coprotheres	9	1975	400
Gyps_coprotheres	10	1975	35
Gyps_coprotheres	11	1975	2331
Gyps_coprotheres	12	1975	835
Gyps_coprotheres	13	1975	20
Gyps_coprotheres	14	1975	1522
Gyps_coprotheres	15	1975	15
Gyps_coprotheres	16	1975	772
Gyps_coprotheres	17	1975	50
Gyps_coprotheres	18	1975	1615
Gyps_coprotheres	19	1975	125
Gyps_coprotheres	20	1975	10
Psittacula_eques	25	1975	49
Leptoptilos_crumenifer	4715	1975	896
Pterocles_namaqua	6053	1975	39.9
Acrocephalus_sechellensis	8745	1975	265
Copsychus_sechellarum	4	1976	46
Falco_punctatus	5	1976	2
Psittacula_eques	25	1976	45
Pterocles_namaqua	6053	1976	1.4
Arenaria_interpres	10960	1976	968
Copsychus_sechellarum	4	1977	39
Falco_punctatus	5	1977	4
Psittacula_eques	25	1977	45
Pterocles_namaqua	6053	1977	28.4
Struthio_camelus	7686	1977	1079
Struthio_camelus	9820	1977	53
Arenaria_interpres	10960	1977	1861
Copsychus_sechellarum	4	1978	38
Falco_punctatus	5	1978	1
Pternistis_ochropectus	6	1978	5600
Psittacula_eques	25	1978	20
Pterocles_namaqua	6053	1978	6.8
Acrocephalus_sechellensis	8745	1978	275
Arenaria_interpres	10960	1978	1976
Copsychus_sechellarum	4	1979	38
