Binomial	ID	year	popvalue
Geochelone_gigantea	17741	1974	18227
Geochelone_gigantea	17742	1974	56776
Geochelone_gigantea	17743	1974	25738
Geochelone_gigantea	17744	1974	1998
Geochelone_gigantea	17745	1974	1235
Leiolopisma_telfairii	176	1975	14.26
Phelsuma_guentheri	178	1975	2.6
Phelsuma_ornata	179	1975	39.6
Gongylomorphus_bojerii	180	1975	10.91
Casarea_dussumieri	8552	1975	26
Leiolopisma_telfairii	176	1978	14.85
Phelsuma_guentheri	178	1978	2.53
Phelsuma_ornata	179	1978	35.37
Gongylomorphus_bojerii	180	1978	19.46
Casarea_dussumieri	8552	1978	14
Leiolopisma_telfairii	176	1982	29.47
Nactus_serpensinsula	177	1982	10
Phelsuma_guentheri	178	1982	1.25
Phelsuma_ornata	179	1982	29.47
Gongylomorphus_bojerii	180	1982	18.37
Casarea_dussumieri	8552	1982	58
Leiolopisma_telfairii	176	1989	39.48
Nactus_serpensinsula	177	1989	210
Phelsuma_guentheri	178	1989	2.82
Phelsuma_ornata	179	1989	42.62
Gongylomorphus_bojerii	180	1989	35.92
Bitis_gabonica	10403	1995	17
Bitis_nasicornis	10404	1995	16
Python_regius	10405	1995	22
Dendroaspis_jamesoni	10406	1995	37
Sooglossus_sechellensis	17789	1995	631
Sechellophryne_gardineri	17791	1995	682
Leiolopisma_telfairii	176	1996	94.31
Phelsuma_guentheri	178	1996	4.7
Phelsuma_ornata	179	1996	28.14
Gongylomorphus_bojerii	180	1996	86.77
Bitis_gabonica	10403	1996	21
Bitis_nasicornis	10404	1996	15
Python_regius	10405	1996	23
Dendroaspis_jamesoni	10406	1996	31
Sooglossus_sechellensis	17789	1996	679
Sechellophryne_gardineri	17791	1996	648
Bitis_gabonica	10403	1997	20
Bitis_nasicornis	10404	1997	16
Python_regius	10405	1997	24
Dendroaspis_jamesoni	10406	1997	35
Geochelone_gigantea	17741	1997	10667
Geochelone_gigantea	17742	1997	38086
Geochelone_gigantea	17743	1997	23550
Geochelone_gigantea	17744	1997	3856
Geochelone_gigantea	17745	1997	1976
Sooglossus_sechellensis	17789	1997	276
Sechellophryne_gardineri	17791	1997	721
Bitis_gabonica	10403	1998	23
Bitis_nasicornis	10404	1998	16
Python_regius	10405	1998	23
Dendroaspis_jamesoni	10406	1998	33
Hemisus_marmoratus	10490	1998	736
Sooglossus_sechellensis	17789	1998	409
Sechellophryne_gardineri	17791	1998	684
Bitis_gabonica	10403	1999	20
Bitis_nasicornis	10404	1999	5
Python_regius	10405	1999	22
Dendroaspis_jamesoni	10406	1999	36
Hemisus_marmoratus	10490	1999	371
Sooglossus_sechellensis	17789	1999	332
Sechellophryne_gardineri	17791	1999	804
Bitis_gabonica	10403	2000	16
Bitis_nasicornis	10404	2000	4
Python_regius	10405	2000	19
Dendroaspis_jamesoni	10406	2000	40
Hemisus_marmoratus	10490	2000	438
Sooglossus_sechellensis	17789	2000	471
Sechellophryne_gardineri	17791	2000	989
Bitis_gabonica	10403	2001	11
Bitis_nasicornis	10404	2001	2
Python_regius	10405	2001	16
Dendroaspis_jamesoni	10406	2001	35
Hemisus_marmoratus	10490	2001	551
Meroles_anchietae	17695	2001	493
Sooglossus_sechellensis	17789	2001	468
Sechellophryne_gardineri	17791	2001	851
Bitis_gabonica	10403	2002	5
Bitis_nasicornis	10404	2002	0
Python_regius	10405	2002	17
Dendroaspis_jamesoni	10406	2002	27
Meroles_anchietae	17695	2002	99
Sooglossus_sechellensis	17789	2002	458
Sechellophryne_gardineri	17791	2002	748
Bitis_gabonica	10403	2003	4
Bitis_nasicornis	10404	2003	1
Python_regius	10405	2003	11
Dendroaspis_jamesoni	10406	2003	35
Pyxis_arachnoides	11778	2003	4.6
Sooglossus_sechellensis	17789	2003	634
Sechellophryne_gardineri	17791	2003	778
Bitis_gabonica	10403	2004	4
Bitis_nasicornis	10404	2004	1
Python_regius	10405	2004	10
Dendroaspis_jamesoni	10406	2004	32
Meroles_anchietae	17695	2004	47
Sooglossus_sechellensis	17789	2004	531
Sechellophryne_gardineri	17791	2004	641
Bitis_gabonica	10403	2005	2
Bitis_nasicornis	10404	2005	1
Python_regius	10405	2005	6
Dendroaspis_jamesoni	10406	2005	37
Meroles_anchietae	17695	2005	173
Sooglossus_sechellensis	17789	2005	481
Sechellophryne_gardineri	17791	2005	546
Bitis_gabonica	10403	2006	5
Bitis_nasicornis	10404	2006	2
Python_regius	10405	2006	6
Dendroaspis_jamesoni	10406	2006	36
Meroles_anchietae	17695	2006	68
Bitis_gabonica	10403	2007	3
Bitis_nasicornis	10404	2007	1
Python_regius	10405	2007	4
Dendroaspis_jamesoni	10406	2007	36
Casarea_dussumieri	8552	2008	20
Bitis_gabonica	10403	2008	5
Python_regius	10405	2008	6
Dendroaspis_jamesoni	10406	2008	39
Pyxis_arachnoides	11778	2009	4.1
Pyxis_arachnoides	11778	2010	4.9
Pyxis_arachnoides	11778	2011	4.1
