Binomial	ID	year	popvalue
Equus_zebra	82	1950	50000
Giraffa_camelopardalis	89	1950	250
Loxodonta_africana	5594	1950	102
Syncerus_caffer	5255	1956	500
Syncerus_caffer	5255	1957	750
Connochaetes_taurinus	5589	1958	189000
Syncerus_caffer	5593	1958	27281
Loxodonta_africana	5594	1958	1002
Diceros_bicornis	11651	1958	19
Aepyceros_melampus	32	1959	600
Connochaetes_taurinus	55	1959	250
Equus_burchellii	80	1959	180
Giraffa_camelopardalis	87	1959	60
Loxodonta_africana	113	1959	380
Papio_hamadryas	129	1959	550
Syncerus_caffer	145	1959	1750
Tragelaphus_scriptus	168	1959	20
Kobus_ellipsiprymnus	4474	1959	20
Phacochoerus_aethiopicus	4475	1959	0
Hippopotamus_amphibius	5680	1959	26515
Redunca_redunca	5877	1959	220
Diceros_bicornis	11651	1959	42
Kobus_kob	5247	1960	20000
Damaliscus_korrigum	5251	1960	20000
Hippotragus_equinus	5252	1960	4000
Redunca_redunca	5254	1960	2000
Ceratotherium_simum	5331	1960	1000
Ceratotherium_simum	18298	1960	1
Aepyceros_melampus	32	1961	451
Connochaetes_taurinus	55	1961	250
Equus_burchellii	80	1961	115
Giraffa_camelopardalis	87	1961	60
Loxodonta_africana	113	1961	421
Papio_hamadryas	129	1961	450
Syncerus_caffer	145	1961	1507
Tragelaphus_scriptus	168	1961	20
Kobus_ellipsiprymnus	4474	1961	20
Phacochoerus_aethiopicus	4475	1961	2
Connochaetes_taurinus	5589	1961	259000
Syncerus_caffer	5593	1961	29671
Loxodonta_africana	5594	1961	1159
Loxodonta_africana	5595	1961	456
Redunca_redunca	5877	1961	220
Equus_burchellii	9984	1961	2e+05
Ceratotherium_simum	18298	1961	4
Eidolon_helvum	4710	1962	204000
Syncerus_caffer	5255	1962	750
Loxodonta_africana	9818	1962	250
Giraffa_camelopardalis	9819	1962	2000
Eidolon_helvum	4710	1963	149333
Connochaetes_taurinus	5589	1963	355000
Diceros_bicornis	11651	1963	61
Connochaetes_taurinus	2393	1964	20038
Eidolon_helvum	4710	1964	137000
Diceros_bicornis	11651	1964	85
Ceratotherium_simum	18298	1964	76
Aepyceros_melampus	31	1965	25000
Aepyceros_melampus	32	1965	285
Alcelaphus_buselaphus	39	1965	25000
Ceratotherium_simum	49	1965	300
Connochaetes_taurinus	55	1965	7
Damaliscus_lunatus	72	1965	15000
Diceros_bicornis	75	1965	400
Equus_burchellii	79	1965	10000
Equus_burchellii	80	1965	115
Nanger_granti	84	1965	1000
Giraffa_camelopardalis	87	1965	31
Giraffa_camelopardalis	92	1965	2500
Hippotragus_equinus	101	1965	700
Kobus_ellipsiprymnus	106	1965	10000
Kobus_kob	107	1965	70000
Loxodonta_africana	113	1965	421
Oryx_dammah	121	1965	2000
Papio_hamadryas	129	1965	400
Syncerus_caffer	145	1965	1507
Syncerus_caffer	151	1965	60000
Taurotragus_derbianus	154	1965	300
Taurotragus_oryx	156	1965	4500
Tragelaphus_scriptus	168	1965	20
Kobus_ellipsiprymnus	4474	1965	20
Phacochoerus_aethiopicus	4475	1965	6
Eidolon_helvum	4710	1965	140000
Pan_troglodytes	4926	1965	112
Connochaetes_taurinus	5257	1965	13035
Equus_burchellii	5258	1965	14400
Aepyceros_melampus	5259	1965	2e+05
Giraffa_camelopardalis	5260	1965	2975
Tragelaphus_strepsiceros	5261	1965	6875
Kobus_ellipsiprymnus	5262	1965	4085
Hippotragus_niger	5264	1965	1236
Hippotragus_equinus	5265	1965	351
Damaliscus_lunatus	5266	1965	715
Taurotragus_oryx	5267	1965	540
Connochaetes_taurinus	5589	1965	436000
Syncerus_caffer	5593	1965	41253
Loxodonta_africana	5594	1965	2077
Redunca_redunca	5877	1965	220
Loxodonta_africana	10066	1965	11500
Diceros_bicornis	11651	1965	85
Connochaetes_taurinus	2393	1966	10438
Pan_troglodytes	4926	1966	117
Syncerus_caffer	5593	1966	45551
Loxodonta_africana	5594	1966	2222
Equus_burchellii	9984	1966	240000
Loxodonta_africana	10066	1966	11000
Diceros_bicornis	11651	1966	109
Aepyceros_melampus	32	1967	380
Connochaetes_taurinus	55	1967	2
Equus_burchellii	80	1967	100
Giraffa_camelopardalis	87	1967	50
Loxodonta_africana	111	1967	6000
Loxodonta_africana	113	1967	300
Papio_hamadryas	129	1967	400
Syncerus_caffer	145	1967	1500
Tragelaphus_scriptus	168	1967	20
Kobus_ellipsiprymnus	4474	1967	20
Phacochoerus_aethiopicus	4475	1967	6
Pan_troglodytes	4926	1967	118
Kobus_kob	5247	1967	30000
Damaliscus_korrigum	5251	1967	20000
Hippotragus_equinus	5252	1967	4000
Eudorcas_rufifrons	5253	1967	400
Redunca_redunca	5254	1967	500
Syncerus_caffer	5255	1967	1000
Connochaetes_taurinus	5589	1967	480000
Syncerus_caffer	5593	1967	48178
Loxodonta_africana	5594	1967	2484
Loxodonta_africana	5595	1967	467
