Binomial	ID	year	popvalue
Branta_sandvicensis	4598	1956	24
Aerodramus_maximus	8519	1956	1e+06
Branta_sandvicensis	4598	1958	22
Branta_sandvicensis	4598	1962	37
Aerodramus_maximus	8519	1962	4e+06
Branta_sandvicensis	4598	1963	30
Numenius_tahitiensis	12054	1963	7
Branta_sandvicensis	4598	1964	9
Numenius_tahitiensis	12054	1964	23
Branta_sandvicensis	4598	1965	48
Branta_sandvicensis	4598	1966	76
Ducula_spilorrhoa	8967	1966	3.1
Telespiza_cantans	199	1967	7779
Branta_sandvicensis	4598	1967	54
Ducula_spilorrhoa	8967	1967	4
Telespiza_cantans	199	1968	7900
Branta_sandvicensis	4598	1968	46
Ducula_spilorrhoa	8967	1968	3
Telespiza_cantans	199	1969	9710
Branta_sandvicensis	4598	1969	45
Ducula_spilorrhoa	8967	1969	1.4
Psophodes_nigrogularis	191	1970	60
Telespiza_cantans	199	1970	9005
Branta_sandvicensis	4598	1970	114
Vini_ultramarina	5075	1970	225
Ducula_spilorrhoa	8967	1970	4
Atrichornis_clamosus	10415	1970	45
Telespiza_cantans	199	1971	8370
Branta_sandvicensis	4598	1971	31
Ducula_spilorrhoa	8967	1971	4.1
Atrichornis_clamosus	10415	1971	44
Telespiza_cantans	199	1972	10200
Vini_ultramarina	200	1972	70
Branta_sandvicensis	4598	1972	113
Ducula_spilorrhoa	8967	1972	6.1
Atrichornis_clamosus	10415	1972	50
Telespiza_cantans	199	1973	10175
Branta_sandvicensis	4598	1973	11
Ducula_spilorrhoa	8967	1973	5.8
Atrichornis_clamosus	10415	1973	59
Telespiza_cantans	199	1974	9200
Branta_sandvicensis	4598	1974	72
Aerodramus_maximus	8519	1974	1300000
Ducula_spilorrhoa	8967	1974	5.7
Atrichornis_clamosus	10415	1974	66
Pluvialis_fulva	12138	1974	5
Telespiza_cantans	199	1975	11680
Vini_ultramarina	201	1975	275
Branta_sandvicensis	4598	1975	58
Malurus_splendens	8779	1975	37
Ducula_spilorrhoa	8967	1975	5
Atrichornis_clamosus	10415	1975	69
Pluvialis_fulva	12138	1975	21
Telespiza_cantans	199	1976	20802
Branta_sandvicensis	4598	1976	50
Petroica_traversi	5150	1976	7
Malurus_splendens	8779	1976	43
Streptopelia_bitorquata	8911	1976	116.279
Corvus_kubaryi	8912	1976	10.098
Dicrurus_macrocercus	8913	1976	219.372
Rhipidura_rufifrons	8914	1976	25.772
Ptilinopus_roseicapilla	8915	1976	2.8413
Alopecoenas_xanthonurus	8916	1976	17.835
Myzomela_rubratra	8917	1976	28.259
Hypotaenidia_owstoni	8921	1976	49.961
Passer_montanus	8922	1976	14.426
Aplonis_opaca	8923	1976	64.897
Ducula_spilorrhoa	8967	1976	6.1
Atrichornis_clamosus	10415	1976	74
Pluvialis_fulva	12138	1976	12
Telespiza_cantans	199	1977	11320
Chasiempis_sandwichensis	3594	1977	1.64
Myadestes_obscurus	3595	1977	1.17
Hemignathus_virens	3596	1977	0.21
Vestiaria_coccinea	3597	1977	2.91
Himatione_sanguinea	3598	1977	18.7
Leiothrix_lutea	3599	1977	1.94
Zosterops_japonicus	3600	1977	13.48
Cardinalis_cardinalis	3601	1977	0.13
Carpodacus_mexicanus	3602	1977	0.03
Chasiempis_sandwichensis	3603	1977	0.76
Myadestes_obscurus	3604	1977	0.17
Hemignathus_virens	3605	1977	6.52
Vestiaria_coccinea	3606	1977	0.09
Himatione_sanguinea	3607	1977	0.27
Leiothrix_lutea	3608	1977	0.02
Zosterops_japonicus	3609	1977	0.4
Cardinalis_cardinalis	3610	1977	0.02
Carpodacus_mexicanus	3611	1977	0.14
Chasiempis_sandwichensis	3612	1977	0.6
Myadestes_obscurus	3613	1977	1.4
Hemignathus_virens	3614	1977	0.02
Himatione_sanguinea	3615	1977	10.16
Zosterops_japonicus	3616	1977	8.03
Cardinalis_cardinalis	3617	1977	0.14
Carpodacus_mexicanus	3618	1977	0
