Binomial	ID	year	popvalue
Rhinoceros_unicornis	18277	1950	800
Rhinoceros_sondaicus	236	1953	40
Phascolarctos_cinereus	5688	1953	116
Equus_hemionus	218	1956	4000
Phascolarctos_cinereus	5686	1957	121
Rhinoceros_unicornis	18277	1957	400
Pteropus_mariannus	202	1958	3000
Phascolarctos_cinereus	5686	1958	134
Rhinoceros_sondaicus	236	1959	40
Rhinoceros_unicornis	18277	1959	300
Chalinolobus_tuberculatus	4929	1960	5
Equus_hemionus	218	1962	865
Phascolarctos_cinereus	5686	1962	128
Hemitragus_hylocrius	220	1963	400
Phascolarctos_cinereus	5686	1963	121
Rhinoceros_sondaicus	236	1964	27
Phascolarctos_cinereus	5686	1964	128
Phascolarctos_cinereus	5686	1965	121
Axis_porcinus	206	1966	1311
Bos_frontalis	207	1966	1
Bubalus_bubalis	209	1966	471
Rucervus_duvaucelii	211	1966	213
Rusa_unicolor	214	1966	120
Elephas_maximus	217	1966	349
Rhinoceros_unicornis	10848	1966	322
Rhinoceros_unicornis	18277	1966	100
Equus_hemionus	218	1967	362
Phascolarctos_cinereus	5686	1967	116
Phascolarctos_cinereus	5687	1967	181
Phascolarctos_cinereus	5686	1968	110
Phascolarctos_cinereus	5687	1968	200
Phascolarctos_cinereus	5688	1968	116
Rhinoceros_unicornis	18277	1968	108
Hemitragus_hylocrius	220	1969	300
Hemitragus_hylocrius	221	1969	439
Rhinoceros_sondaicus	236	1969	22
Phascolarctos_cinereus	5687	1969	191
Phascolarctos_cinereus	5688	1970	99
Phascolarctos_cinereus	4895	1971	46
Phascolarctos_cinereus	5686	1971	148
Pteropus_mariannus	202	1972	1000
Axis_porcinus	206	1972	4551
Bos_frontalis	207	1972	18
Bubalus_bubalis	209	1972	555
Rucervus_duvaucelii	211	1972	516
Rusa_unicolor	214	1972	105
Elephas_maximus	217	1972	422
Panthera_tigris	234	1972	1827
Rhinoceros_sondaicus	236	1972	44
Phascolarctos_cinereus	4895	1972	47
Rhinoceros_unicornis	10848	1972	510
Rhinoceros_unicornis	10853	1972	31
Rhinoceros_unicornis	18277	1972	147
Capra_hircus	534	1973	450
Phascolarctos_cinereus	4895	1973	47
Phascolarctos_cinereus	5686	1973	110
Macropus_rufus	11747	1973	5.35
Macropus_rufus	11748	1973	3.85
Macropus_fuliginosus	11749	1973	4.15
Macropus_fuliginosus	11750	1973	2.6
Panthera_pardus	230	1974	142
Phascolarctos_cinereus	4895	1974	55
Ovis_aries	5666	1974	12
Phascolarctos_cinereus	5686	1974	116
Panthera_leo	11107	1974	180
Hyaena_hyaena	11108	1974	63
Macropus_rufus	11747	1974	5.2
Macropus_rufus	11748	1974	4.47
Macropus_fuliginosus	11749	1974	4.4
Macropus_fuliginosus	11750	1974	3.2
Trichosurus_vulpecula	197	1975	5
