Binomial	ID	year	popvalue
Amazona_versicolor	253	1950	1000
Anser_albifrons	3252	1961	820
Branta_canadensis	3263	1961	15280
Anser_albifrons	3252	1962	500
Branta_canadensis	3263	1962	17740
Anser_albifrons	3252	1963	690
Branta_canadensis	3263	1963	39840
Anser_albifrons	3252	1964	650
Branta_canadensis	3263	1964	7980
Anser_albifrons	3252	1965	1620
Branta_canadensis	3263	1965	28630
Anser_albifrons	3252	1966	390
Branta_canadensis	3263	1966	26290
Anser_albifrons	3252	1967	660
Branta_canadensis	3263	1967	18670
Anser_albifrons	3252	1968	700
Branta_canadensis	3263	1968	18940
Anser_albifrons	3252	1969	670
Branta_canadensis	3263	1969	20130
Anser_albifrons	3252	1970	2360
Branta_canadensis	3263	1970	20940
Anser_albifrons	3252	1971	1200
Branta_canadensis	3263	1971	26550
Anser_albifrons	3252	1972	1740
Branta_canadensis	3263	1972	20850
Amazona_vittata	254	1973	16
Anser_albifrons	3252	1973	1070
Branta_canadensis	3263	1973	34600
Amazona_vittata	254	1974	16
Anser_albifrons	3252	1974	1120
Branta_canadensis	3263	1974	40090
Agelaius_xanthomus	243	1975	1663
Amazona_vittata	254	1975	14
Anser_albifrons	3252	1975	2270
Branta_canadensis	3263	1975	49280
Molothrus_bonariensis	4692	1975	1166
Quiscalus_niger	4693	1975	5428
Agelaius_xanthomus	244	1976	200
Agelaius_xanthomus	247	1976	200
Amazona_leucocephala	249	1976	625
Anser_albifrons	3252	1976	7870
Branta_canadensis	3263	1976	55520
Amazona_tucumana	5641	1976	1525
Amazona_arausiaca	248	1977	350
Amazona_versicolor	253	1977	100
Amazona_vittata	254	1977	18
Anser_albifrons	3252	1977	3490
Branta_canadensis	3263	1977	59960
Amazona_vittata	254	1978	19
Anser_albifrons	3252	1978	1930
Branta_canadensis	3263	1978	27730
Geospiza_conirostris	6015	1978	17
Amazona_vittata	254	1979	25
Anser_albifrons	3252	1979	1460
Branta_canadensis	3263	1979	14830
Geospiza_conirostris	6015	1979	29
Amazona_vittata	254	1980	18
Anser_albifrons	3252	1980	1390
Branta_canadensis	3263	1980	18590
Geospiza_conirostris	6015	1980	31
Agelaius_xanthomus	247	1981	220
Amazona_vittata	254	1981	19
Anser_albifrons	3252	1981	3010
Branta_canadensis	3263	1981	21870
Geospiza_conirostris	6015	1981	40
Agelaius_xanthomus	243	1982	266
Agelaius_xanthomus	244	1982	6
Agelaius_xanthomus	247	1982	310
Amazona_vittata	254	1982	18
Anser_albifrons	3252	1982	2540
Branta_canadensis	3263	1982	105630
Molothrus_bonariensis	4692	1982	1387
Quiscalus_niger	4693	1982	5415
Geospiza_conirostris	6015	1982	43
Anser_albifrons	3252	1983	1770
Branta_canadensis	3263	1983	70570
Geospiza_conirostris	6015	1983	72
Amazona_vittata	254	1984	29
Buteo_platypterus	256	1984	50
Anser_albifrons	3252	1984	830
Branta_canadensis	3263	1984	67160
Geospiza_conirostris	6015	1984	46
Agelaius_xanthomus	244	1985	2
Amazona_vittata	254	1985	25
Anser_albifrons	3252	1985	590
Branta_canadensis	3263	1985	74590
Accipiter_striatus	4694	1985	250
Geospiza_conirostris	6015	1985	35
Agelaius_xanthomus	244	1986	2
Agelaius_xanthomus	247	1986	338
Amazona_leucocephala	249	1986	351
Amazona_vittata	254	1986	29
Geospiza_conirostris	6015	1986	22
Agelaius_xanthomus	6165	1986	235
Amazona_vittata	254	1987	29
Agelaius_xanthomus	6165	1987	210
Crypturellus_obsoletus	7455	1987	27
Crypturellus_parvirostris	7459	1987	20
Crypturellus_tataupa	7460	1987	25
Rhynchotus_rufescens	7461	1987	1
Penelope_superciliaris	7466	1987	1
Vanellus_chilensis	7477	1987	16
Cariama_cristata	7484	1987	26
Coragyps_atratus	7492	1987	121
Leptodon_cayanensis	7496	1987	3
Rupornis_magnirostris	7497	1987	23
Buteo_brachyurus	7501	1987	3
Caracara_plancus	7503	1987	20
Milvago_chimachima	7507	1987	4
Herpetotheres_cachinnans	7508	1987	4
Falco_sparverius	7509	1987	3
Glaucidium_brasilianum	7512	1987	4
Nyctidromus_albicollis	7513	1987	2
Hydropsalis_torquata	7514	1987	6
Phaethornis_pretrei	7515	1987	11
Florisuga_fusca	7516	1987	3
Colibri_serrirostris	7517	1987	1
