Binomial	ID	year	popvalue
Myodes_rufocanus	554	1950	590
Marmota_bobak	599	1950	23750
Ursus_arctos	632	1950	860
Myodes_glareolus	5825	1950	20
Myodes_rufocanus	5831	1950	15
Macaca_fuscata	5837	1950	200
Macaca_sylvanus	5839	1950	1.28
Macaca_sylvanus	5840	1950	1.1
Apodemus_sylvaticus	6176	1950	19.5
Myodes_glareolus	6196	1950	58.5
Capra_ibex	10692	1950	158
Capra_ibex	10694	1950	45
Capra_ibex	10695	1950	211
Capra_ibex	10696	1950	16
Capra_ibex	10713	1950	193
Capra_ibex	10714	1950	8
Capra_ibex	10718	1950	652
Myodes_rufocanus	554	1951	0
Myodes_glareolus	5825	1951	1
Myodes_rufocanus	5831	1951	0
Macaca_sylvanus	5839	1951	1.3
Macaca_sylvanus	5840	1951	1.15
Apodemus_sylvaticus	6176	1951	36
Myodes_glareolus	6196	1951	23.5
Ovibos_moschatus	10392	1951	10
Capra_ibex	10692	1951	128
Capra_ibex	10694	1951	36
Capra_ibex	10695	1951	237
Capra_ibex	10696	1951	13
Capra_ibex	10713	1951	173
Capra_ibex	10714	1951	15
Capra_ibex	10718	1951	353
Cervus_elaphus	543	1952	56
Myodes_rufocanus	554	1952	15
Ursus_arctos	632	1952	1500
Myodes_glareolus	5825	1952	6
Myodes_rufocanus	5831	1952	1
Macaca_sylvanus	5839	1952	1.4
Macaca_sylvanus	5840	1952	1.2
Apodemus_sylvaticus	6176	1952	16.5
Myodes_glareolus	6196	1952	69
Ovibos_moschatus	10392	1952	11
Capra_ibex	10692	1952	135
Capra_ibex	10694	1952	34
Capra_ibex	10695	1952	269
Capra_ibex	10696	1952	13
Capra_ibex	10713	1952	183
Capra_ibex	10714	1952	26
Capra_ibex	10718	1952	387
Bison_bonasus	10734	1952	1
Ursus_arctos	10782	1952	166
Myodes_rufocanus	554	1953	105
Dama_dama	556	1953	42
Ovis_aries	603	1953	11
Ursus_arctos	632	1953	1650
Myodes_glareolus	5825	1953	6
Myodes_rufocanus	5831	1953	5
Macaca_fuscata	5837	1953	240
Macaca_sylvanus	5839	1953	1.41
Macaca_sylvanus	5840	1953	1.28
Mustela_erminea	5863	1953	0.8
Apodemus_sylvaticus	6176	1953	19.5
Myodes_glareolus	6196	1953	31.5
Ovibos_moschatus	10392	1953	13
Capra_ibex	10692	1953	139
Capra_ibex	10694	1953	34
