Binomial	ID	year	popvalue
Vipera_berus	10410	1974	68.2969
Vipera_berus	10410	1975	41.6594
Vipera_berus	10410	1976	6.2882
Vipera_berus	10410	1977	4.9783
Vipera_berus	10410	1978	8.6463
Vipera_berus	10410	1979	5.1529
Testudo_hermanni	640	1980	3114
Vipera_berus	10410	1980	25.4149
Vipera_berus	10410	1981	24.6288
Vipera_berus	12007	1981	18.9638
Testudo_hermanni	640	1982	1660
Testudo_hermanni	12005	1982	1301
Testudo_graeca	12006	1982	2.5611
Vipera_berus	12007	1982	17.9283
Testudo_hermanni	12005	1983	1347
Testudo_graeca	12006	1983	2.4826
Vipera_berus	12007	1983	21.9764
Testudo_hermanni	12005	1984	1132
Testudo_graeca	12006	1984	3.0008
Vipera_berus	12007	1984	24.8873
Testudo_hermanni	12005	1985	1207
Testudo_graeca	12006	1985	3.0004
Vipera_berus	12007	1985	22.9822
Testudo_hermanni	12005	1986	1256
Testudo_graeca	12006	1986	3.1386
Vipera_berus	12007	1986	23.0169
Vipera_ursinii	10400	1987	116
Vipera_ursinii	10402	1987	83
Vipera_berus	12007	1987	20.075
Vipera_ursinii	10400	1988	105
Vipera_ursinii	10402	1988	83
Testudo_hermanni	12005	1988	1255
Testudo_graeca	12006	1988	3.2977
Vipera_berus	12007	1988	20.0762
Natrix_natrix	7112	1989	67
Zamenis_longissimus	7114	1989	37
Elaphe_quatuorlineata	7115	1989	13
Vipera_aspis	10398	1989	57
Vipera_aspis	10399	1989	95
Vipera_ursinii	10400	1989	109
Vipera_ursinii	10402	1989	78
Testudo_hermanni	12005	1989	1152
Testudo_graeca	12006	1989	3.4998
Vipera_berus	12007	1989	19.0072
Vipera_aspis	10398	1990	56
Vipera_aspis	10399	1990	102
Vipera_ursinii	10400	1990	103
Vipera_ursinii	10402	1990	82
Testudo_hermanni	12005	1990	1167
Testudo_graeca	12006	1990	3.6663
Vipera_berus	12007	1990	17.0018
Testudo_hermanni	6961	1991	62
Vipera_aspis	10398	1991	58
Vipera_aspis	10399	1991	104
Vipera_ursinii	10400	1991	112
Vipera_ursinii	10402	1991	84
Vipera_berus	12007	1991	14.9628
Testudo_hermanni	6961	1992	141
Vipera_aspis	10398	1992	54
Vipera_aspis	10399	1992	102
Vipera_ursinii	10400	1992	113
Vipera_ursinii	10402	1992	89
Vipera_berus	12007	1992	8.9441
Testudo_hermanni	6961	1993	90
Vipera_aspis	10390	1993	97
Vipera_aspis	10398	1993	58
Vipera_aspis	10399	1993	100
Vipera_ursinii	10400	1993	113
Vipera_ursinii	10402	1993	79
Vipera_berus	12007	1993	5.9018
Testudo_hermanni	6961	1994	101
Vipera_aspis	10390	1994	139
Zamenis_longissimus	10394	1994	92
Vipera_aspis	10398	1994	64
Vipera_aspis	10399	1994	98
Vipera_ursinii	10400	1994	111
Vipera_ursinii	10402	1994	85
Vipera_berus	12007	1994	6.9733
Testudo_hermanni	6961	1995	97
Vipera_aspis	10390	1995	100
Hierophis_viridiflavus	10391	1995	55
Zamenis_longissimus	10394	1995	97
Hierophis_viridiflavus	10395	1995	55
Vipera_aspis	10398	1995	61
Vipera_aspis	10399	1995	97
Vipera_ursinii	10400	1995	107
Vipera_ursinii	10402	1995	81
Vipera_berus	12007	1995	4.0314
Testudo_hermanni	6961	1996	111
Euleptes_europaea	8827	1996	37
Vipera_aspis	10390	1996	104
Hierophis_viridiflavus	10391	1996	62
Zamenis_longissimus	10394	1996	106
Hierophis_viridiflavus	10395	1996	62
Vipera_aspis	10398	1996	63
Vipera_aspis	10399	1996	99
Vipera_ursinii	10400	1996	107
Vipera_ursinii	10402	1996	85
Vipera_berus	12007	1996	7.9122
Testudo_hermanni	6961	1997	194
Euleptes_europaea	8827	1997	24
Coronella_austriaca	10388	1997	47
Natrix_natrix	10389	1997	6
Vipera_aspis	10390	1997	122
Hierophis_viridiflavus	10391	1997	41
Zamenis_longissimus	10394	1997	130
Hierophis_viridiflavus	10395	1997	41
Zamenis_longissimus	10396	1997	43
Natrix_natrix	10397	1997	43
Vipera_aspis	10398	1997	59
Vipera_aspis	10399	1997	97
Vipera_ursinii	10400	1997	104
Vipera_ursinii	10402	1997	85
Vipera_berus	12007	1997	11.9268
Testudo_hermanni	6961	1998	153
Euleptes_europaea	8827	1998	25
Coronella_austriaca	10388	1998	53
Natrix_natrix	10389	1998	15
Vipera_aspis	10390	1998	63
Hierophis_viridiflavus	10391	1998	34
Zamenis_longissimus	10394	1998	97
Hierophis_viridiflavus	10395	1998	34
Zamenis_longissimus	10396	1998	67
Natrix_natrix	10397	1998	67
Vipera_aspis	10398	1998	52
Vipera_aspis	10399	1998	93
Vipera_ursinii	10400	1998	109
Vipera_ursinii	10402	1998	78
Vipera_berus	12007	1998	20.0552
Euleptes_europaea	8827	1999	11
Coronella_austriaca	10388	1999	52
Natrix_natrix	10389	1999	26
Vipera_aspis	10390	1999	61
Hierophis_viridiflavus	10391	1999	27
Zamenis_longissimus	10394	1999	101
Hierophis_viridiflavus	10395	1999	27
Zamenis_longissimus	10396	1999	73
Natrix_natrix	10397	1999	73
Vipera_aspis	10398	1999	55
Vipera_aspis	10399	1999	76
Vipera_ursinii	10400	1999	101
Vipera_ursinii	10402	1999	68
Vipera_berus	12007	1999	31.9962
Euleptes_europaea	8827	2000	27
Coronella_austriaca	10388	2000	52
Natrix_natrix	10389	2000	13
Vipera_aspis	10390	2000	60
Hierophis_viridiflavus	10391	2000	24
Zamenis_longissimus	10394	2000	68
Hierophis_viridiflavus	10395	2000	24
Zamenis_longissimus	10396	2000	85
Natrix_natrix	10397	2000	85
Vipera_aspis	10398	2000	34
Vipera_aspis	10399	2000	50
Vipera_ursinii	10400	2000	61
Vipera_ursinii	10402	2000	37
Vipera_berus	12007	2000	29.0543
Coronella_austriaca	10388	2001	45
Natrix_natrix	10389	2001	11
Vipera_aspis	10390	2001	30
Hierophis_viridiflavus	10391	2001	14
Zamenis_longissimus	10394	2001	74
Hierophis_viridiflavus	10395	2001	14
Zamenis_longissimus	10396	2001	46
Natrix_natrix	10397	2001	46
Vipera_aspis	10398	2001	28
Vipera_aspis	10399	2001	45
Vipera_ursinii	10400	2001	57
Vipera_ursinii	10402	2001	33
Vipera_berus	12007	2001	31.9651
Coronella_austriaca	10388	2002	39
Vipera_aspis	10390	2002	18
Hierophis_viridiflavus	10391	2002	16
Zamenis_longissimus	10394	2002	82
Hierophis_viridiflavus	10395	2002	16
Zamenis_longissimus	10396	2002	64
Natrix_natrix	10397	2002	64
Vipera_aspis	10398	2002	23
Vipera_aspis	10399	2002	39
Vipera_ursinii	10400	2002	49
Vipera_ursinii	10402	2002	30
Acanthodactylus_scutellatus	10408	2002	4012
Vipera_berus	12007	2002	33.9398
Natrix_natrix	7112	2003	53
Zamenis_longissimus	7114	2003	15
Elaphe_quatuorlineata	7115	2003	13
Coronella_austriaca	10388	2003	37
Natrix_natrix	10389	2003	21
Vipera_aspis	10390	2003	8
Hierophis_viridiflavus	10391	2003	22
Zamenis_longissimus	10394	2003	40
Hierophis_viridiflavus	10395	2003	22
Zamenis_longissimus	10396	2003	59
Natrix_natrix	10397	2003	59
Vipera_aspis	10398	2003	20
Vipera_aspis	10399	2003	43
Vipera_ursinii	10400	2003	37
Vipera_ursinii	10402	2003	26
Acanthodactylus_scutellatus	10408	2003	5291
Vipera_berus	12007	2003	39.0915
Coronella_austriaca	10388	2004	36
Natrix_natrix	10389	2004	18
Vipera_aspis	10390	2004	28
Hierophis_viridiflavus	10391	2004	22
Zamenis_longissimus	10394	2004	49
Hierophis_viridiflavus	10395	2004	22
Zamenis_longissimus	10396	2004	42
Natrix_natrix	10397	2004	42
Vipera_aspis	10398	2004	19
Vipera_aspis	10399	2004	39
Vipera_ursinii	10400	2004	39
Vipera_ursinii	10402	2004	29
Vipera_berus	12007	2004	43.9757
Coronella_austriaca	10388	2005	27
Natrix_natrix	10389	2005	13
Vipera_aspis	10390	2005	7
Hierophis_viridiflavus	10391	2005	10
Zamenis_longissimus	10394	2005	35
Hierophis_viridiflavus	10395	2005	10
Zamenis_longissimus	10396	2005	53
Natrix_natrix	10397	2005	53
Vipera_aspis	10398	2005	18
Vipera_aspis	10399	2005	35
Vipera_ursinii	10400	2005	34
Vipera_ursinii	10402	2005	27
Elaphe_dione	11950	2005	12
Rhabdophis_tigrinus	11951	2005	6
Vipera_berus	12007	2005	48.0572
Coronella_austriaca	10388	2006	24
Natrix_natrix	10389	2006	7
Vipera_aspis	10390	2006	12
Hierophis_viridiflavus	10391	2006	9
Zamenis_longissimus	10394	2006	12
Hierophis_viridiflavus	10395	2006	9
Zamenis_longissimus	10396	2006	35
Natrix_natrix	10397	2006	35
Vipera_aspis	10398	2006	18
Vipera_aspis	10399	2006	39
Vipera_ursinii	10400	2006	38
Vipera_ursinii	10402	2006	25
Elaphe_dione	11950	2006	5
Rhabdophis_tigrinus	11951	2006	3
Coronella_austriaca	10388	2007	23
Natrix_natrix	10389	2007	24
Vipera_aspis	10390	2007	16
Hierophis_viridiflavus	10391	2007	21
Zamenis_longissimus	10394	2007	73
Hierophis_viridiflavus	10395	2007	21
Zamenis_longissimus	10396	2007	76
Natrix_natrix	10397	2007	76
Vipera_aspis	10398	2007	22
Vipera_aspis	10399	2007	40
Vipera_ursinii	10400	2007	40
Vipera_ursinii	10402	2007	20
Elaphe_dione	11950	2007	13
Rhabdophis_tigrinus	11951	2007	8
Coronella_austriaca	10388	2008	22
Natrix_natrix	10389	2008	15
Vipera_aspis	10390	2008	3
Hierophis_viridiflavus	10391	2008	17
Zamenis_longissimus	10394	2008	64
Hierophis_viridiflavus	10395	2008	17
Zamenis_longissimus	10396	2008	77
Natrix_natrix	10397	2008	77
Vipera_aspis	10398	2008	21
Vipera_aspis	10399	2008	40
Vipera_ursinii	10400	2008	37
Vipera_ursinii	10402	2008	24
Elaphe_dione	11950	2008	9
Rhabdophis_tigrinus	11951	2008	5
Coronella_austriaca	10388	2009	25
Natrix_natrix	10389	2009	19
Vipera_aspis	10390	2009	7
Hierophis_viridiflavus	10391	2009	15
Zamenis_longissimus	10394	2009	45
Hierophis_viridiflavus	10395	2009	15
Zamenis_longissimus	10396	2009	66
Natrix_natrix	10397	2009	66
Vipera_aspis	10399	2009	37
Elaphe_dione	11950	2009	10
Rhabdophis_tigrinus	11951	2009	9
Vipera_berus	12007	2009	10.9346
Vipera_berus	12007	2010	11.9393
