Binomial	ID	year	popvalue
Ovis_canadensis	4618	1950	390
Ovis_canadensis	5328	1950	1500
Myodes_gapperi	4560	1952	17
Sorex_cinereus	4587	1952	3
Napaeozapus_insignis	4588	1952	18
Tamias_striatus	4590	1952	1
Blarina_brevicauda	4591	1952	1
Myodes_gapperi	4560	1953	11
Sorex_cinereus	4587	1953	5
Napaeozapus_insignis	4588	1953	3
Tamias_striatus	4590	1953	8
Blarina_brevicauda	4591	1953	1
Myotis_sodalis	4625	1953	12500
Myodes_gapperi	4560	1954	29
Sorex_cinereus	4587	1954	1
Napaeozapus_insignis	4588	1954	7
Tamias_striatus	4590	1954	25
Blarina_brevicauda	4591	1954	3
Spermophilus_franklinii	3470	1955	6.1
Spermophilus_tridecemlineatus	3471	1955	17.3
Tamias_minimus	3472	1955	9.3
Tamias_striatus	3474	1955	9
Tamiasciurus_hudsonicus	3475	1955	8
Myodes_gapperi	4560	1955	47
Sorex_cinereus	4587	1955	15
Napaeozapus_insignis	4588	1955	1
Tamias_striatus	4590	1955	4
Blarina_brevicauda	4591	1955	0
Spermophilus_franklinii	3470	1956	5.1
Spermophilus_tridecemlineatus	3471	1956	13.1
Tamias_minimus	3472	1956	18.3
Tamias_striatus	3474	1956	4
Tamiasciurus_hudsonicus	3475	1956	10
Myodes_gapperi	4560	1956	31
Sorex_cinereus	4587	1956	1
Napaeozapus_insignis	4588	1956	6
Tamias_striatus	4590	1956	12
Blarina_brevicauda	4591	1956	0
Spermophilus_franklinii	3470	1957	3.9
Spermophilus_tridecemlineatus	3471	1957	11.4
Tamias_minimus	3472	1957	4.4
Tamias_striatus	3474	1957	7
Tamiasciurus_hudsonicus	3475	1957	8
Myodes_gapperi	4560	1957	22
Sorex_cinereus	4587	1957	8
Napaeozapus_insignis	4588	1957	2
Tamias_striatus	4590	1957	21
Blarina_brevicauda	4591	1957	1
Myotis_sodalis	4625	1957	2000
Spermophilus_franklinii	3470	1958	3.1
Spermophilus_tridecemlineatus	3471	1958	7.3
Tamias_minimus	3472	1958	9.3
Tamias_striatus	3474	1958	14
Tamiasciurus_hudsonicus	3475	1958	29
Myodes_gapperi	4560	1958	14
Sorex_cinereus	4587	1958	5
Napaeozapus_insignis	4588	1958	2
Tamias_striatus	4590	1958	22
Blarina_brevicauda	4591	1958	0
Alces_americanus	3405	1959	530
Spermophilus_franklinii	3470	1959	8
Spermophilus_tridecemlineatus	3471	1959	6.4
Tamias_minimus	3472	1959	2.4
Tamias_striatus	3474	1959	17
Tamiasciurus_hudsonicus	3475	1959	17
Myodes_gapperi	4560	1959	52
Sorex_cinereus	4587	1959	2
Napaeozapus_insignis	4588	1959	4
Tamias_striatus	4590	1959	30
Blarina_brevicauda	4591	1959	0
Canis_lupus	4809	1959	20
Lemmus_trimucronatus	5836	1959	20
Microtus_californicus	6270	1959	2.5
Microtus_californicus	6271	1959	1.83333
Alces_americanus	3405	1960	562
Canis_latrans	3421	1960	0.5
Cervus_elaphus	3424	1960	1500
Spermophilus_franklinii	3470	1960	11
Spermophilus_tridecemlineatus	3471	1960	13.4
Tamias_minimus	3472	1960	5.4
Tamias_striatus	3474	1960	9
Tamiasciurus_hudsonicus	3475	1960	17
Vulpes_vulpes	3488	1960	4.7
Myodes_gapperi	4560	1960	19
Sorex_cinereus	4587	1960	1
Napaeozapus_insignis	4588	1960	0
Tamias_striatus	4590	1960	29
Blarina_brevicauda	4591	1960	2
Canis_lupus	4809	1960	22
Canis_latrans	5085	1960	0.2
Vulpes_vulpes	5086	1960	1.75
Canis_latrans	5087	1960	0.7
Vulpes_vulpes	5088	1960	0.4
Vulpes_vulpes	5090	1960	0.5
Lemmus_trimucronatus	5836	1960	238
Microtus_californicus	6270	1960	19
Microtus_californicus	6271	1960	7
Alces_americanus	3405	1961	625
Martes_americana	3433	1961	122
Spermophilus_franklinii	3470	1961	17.9
Spermophilus_tridecemlineatus	3471	1961	17.4
Tamias_minimus	3472	1961	9.4
Tamias_striatus	3474	1961	13
Tamiasciurus_hudsonicus	3475	1961	28
Vulpes_vulpes	3488	1961	8
Rangifer_tarandus	4321	1961	12799
Rangifer_tarandus	4322	1961	5001
Myodes_gapperi	4560	1961	20
Sorex_cinereus	4587	1961	2
Napaeozapus_insignis	4588	1961	0
Tamias_striatus	4590	1961	48
Blarina_brevicauda	4591	1961	2
Myotis_sodalis	4625	1961	2500
Canis_lupus	4809	1961	22
Vulpes_vulpes	5086	1961	3.7
Canis_latrans	5087	1961	0.7
Vulpes_vulpes	5088	1961	1.5
Vulpes_vulpes	5090	1961	5.5
Rangifer_tarandus	5494	1961	3608
Lemmus_trimucronatus	5836	1961	230
Microtus_californicus	6270	1961	28.33333
Microtus_californicus	6271	1961	11
Alces_americanus	3405	1962	656
Martes_americana	3433	1962	114
Spermophilus_franklinii	3470	1962	17.9
Spermophilus_tridecemlineatus	3471	1962	20.5
Tamias_minimus	3472	1962	8.5
Tamias_striatus	3474	1962	16
Tamiasciurus_hudsonicus	3475	1962	21
Vulpes_vulpes	3488	1962	1.75
Lepus_americanus	4552	1962	2.5
Myodes_gapperi	4560	1962	9
Sorex_cinereus	4587	1962	5
Napaeozapus_insignis	4588	1962	11
Tamias_striatus	4590	1962	21
Blarina_brevicauda	4591	1962	2
Myotis_sodalis	4625	1962	2800
Canis_lupus	4809	1962	23
Vulpes_vulpes	5086	1962	1.5
Canis_latrans	5087	1962	0.3
Vulpes_vulpes	5088	1962	1
Lemmus_trimucronatus	5836	1962	4
Marmota_flaviventris	5842	1962	6
Marmota_flaviventris	5843	1962	2
Marmota_flaviventris	5844	1962	6
Microtus_californicus	6270	1962	31.5
Microtus_californicus	6271	1962	17.33333
Alces_americanus	3405	1963	687
Canis_latrans	3421	1963	0.25
Martes_americana	3433	1963	108
Spermophilus_franklinii	3470	1963	6.9
Spermophilus_tridecemlineatus	3471	1963	10.4
Tamias_minimus	3472	1963	2.6
Tamias_striatus	3474	1963	15
Tamiasciurus_hudsonicus	3475	1963	26
Vulpes_vulpes	3488	1963	5
Lepus_americanus	4552	1963	1
Myodes_gapperi	4560	1963	1
Sorex_cinereus	4587	1963	3
Napaeozapus_insignis	4588	1963	6
Tamias_striatus	4590	1963	23
Blarina_brevicauda	4591	1963	2
Myotis_sodalis	4625	1963	2500
Canis_lupus	4809	1963	20
Canis_latrans	5085	1963	0.1
Vulpes_vulpes	5086	1963	3.2
Canis_latrans	5087	1963	1.3
Vulpes_vulpes	5088	1963	2.7
Vulpes_vulpes	5090	1963	0.8
Marmota_flaviventris	5841	1963	2
Marmota_flaviventris	5842	1963	6
Marmota_flaviventris	5843	1963	2
Marmota_flaviventris	5844	1963	6
Microtus_californicus	6270	1963	60.5
Microtus_californicus	6271	1963	39
Alces_americanus	3405	1964	750
Canis_latrans	3421	1964	0.135
Martes_americana	3433	1964	143
Spermophilus_franklinii	3470	1964	5.9
Spermophilus_tridecemlineatus	3471	1964	10.4
Tamias_minimus	3472	1964	1.4
Tamias_striatus	3474	1964	10
Tamiasciurus_hudsonicus	3475	1964	13
Vulpes_vulpes	3488	1964	9.48
Lepus_americanus	4552	1964	0.4
Myodes_gapperi	4560	1964	8
Sorex_cinereus	4587	1964	0
Napaeozapus_insignis	4588	1964	0
Tamias_striatus	4590	1964	3
Blarina_brevicauda	4591	1964	1
Myotis_sodalis	4625	1964	2500
Canis_lupus	4809	1964	26
Canis_latrans	5085	1964	0.25
Vulpes_vulpes	5086	1964	3.1
Canis_latrans	5087	1964	2.1
Vulpes_vulpes	5088	1964	3.2
Vulpes_vulpes	5090	1964	2.6
Marmota_flaviventris	5841	1964	4
Marmota_flaviventris	5842	1964	9
Marmota_flaviventris	5843	1964	2
Marmota_flaviventris	5844	1964	8
Microtus_californicus	6270	1964	89.33333
Microtus_californicus	6271	1964	60.33333
Alces_americanus	3405	1965	781
Martes_americana	3433	1965	107
Spermophilus_franklinii	3470	1965	0
Spermophilus_tridecemlineatus	3471	1965	8.2
Tamias_minimus	3472	1965	9.3
Tamias_striatus	3474	1965	19
Tamiasciurus_hudsonicus	3475	1965	3
Vulpes_vulpes	3488	1965	8.15
Mustela_erminea	4543	1965	0.6
Mustela_frenata	4547	1965	0.28
Neovison_vison	4549	1965	0.5
Tamiasciurus_hudsonicus	4550	1965	10.5
Glaucomys_sabrinus	4551	1965	0.05
Lepus_americanus	4552	1965	0.13
Spermophilus_franklinii	4553	1965	1.7
Erethizon_dorsata	4554	1965	1.02
Mephitis_mephitis	4556	1965	0.05
Myodes_gapperi	4560	1965	24
Sorex_cinereus	4587	1965	1
Napaeozapus_insignis	4588	1965	1
Tamias_striatus	4590	1965	6
Blarina_brevicauda	4591	1965	2
Myotis_sodalis	4625	1965	3300
Canis_lupus	4809	1965	28
Canis_latrans	5085	1965	0.1
Vulpes_vulpes	5086	1965	1.8
Canis_latrans	5087	1965	0.8
Vulpes_vulpes	5088	1965	0.7
Vulpes_vulpes	5090	1965	1.7
Lemmus_trimucronatus	5836	1965	140
Marmota_flaviventris	5841	1965	4
Marmota_flaviventris	5842	1965	10.5
Marmota_flaviventris	5843	1965	2
Marmota_flaviventris	5844	1965	4
Microtus_californicus	6270	1965	17.5
Microtus_californicus	6271	1965	19
Alces_americanus	3405	1966	812
Myodes_gapperi	3426	1966	4.1
Martes_americana	3433	1966	151
Napaeozapus_insignis	3445	1966	0.2
Spermophilus_franklinii	3470	1966	0
Spermophilus_tridecemlineatus	3471	1966	7.3
Tamias_minimus	3472	1966	2.3
Tamias_striatus	3473	1966	1
Tamias_striatus	3474	1966	24
Tamiasciurus_hudsonicus	3475	1966	11
Vulpes_vulpes	3488	1966	6.25
Mustela_erminea	4543	1966	0.19
Mustela_frenata	4547	1966	0.1
Tamiasciurus_hudsonicus	4550	1966	13
Glaucomys_sabrinus	4551	1966	0.2
Lepus_americanus	4552	1966	0.15
Spermophilus_franklinii	4553	1966	1.2
Erethizon_dorsata	4554	1966	0.6
Mephitis_mephitis	4556	1966	0.2
Myodes_gapperi	4560	1966	7
Sorex_cinereus	4587	1966	1
Napaeozapus_insignis	4588	1966	0
Tamias_striatus	4590	1966	16
Blarina_brevicauda	4591	1966	9
Myotis_sodalis	4625	1966	1380
Canis_lupus	4809	1966	26
Canis_latrans	5085	1966	0.1
Vulpes_vulpes	5086	1966	2.5
Canis_latrans	5087	1966	1.5
Vulpes_vulpes	5088	1966	1.5
Vulpes_vulpes	5090	1966	1.3
Blarina_brevicauda	5821	1966	0.2
Lemmus_trimucronatus	5836	1966	4
Marmota_flaviventris	5841	1966	3
Marmota_flaviventris	5842	1966	7.5
Marmota_flaviventris	5843	1966	3
Marmota_flaviventris	5844	1966	2
Microtus_californicus	6270	1966	12.5
Microtus_californicus	6271	1966	16.66667
Alces_americanus	3405	1967	900
Canis_latrans	3421	1967	0.135
Myodes_gapperi	3426	1967	0
Martes_americana	3433	1967	128
Napaeozapus_insignis	3445	1967	0.2
Spermophilus_franklinii	3470	1967	0
Spermophilus_tridecemlineatus	3471	1967	8.3
Tamias_minimus	3472	1967	3.3
Tamias_striatus	3473	1967	2.375
Tamias_striatus	3474	1967	21
Tamiasciurus_hudsonicus	3475	1967	15
Vulpes_vulpes	3488	1967	6.3
Mustela_erminea	4543	1967	0.45
Mustela_frenata	4547	1967	0.42
Tamiasciurus_hudsonicus	4550	1967	14
Glaucomys_sabrinus	4551	1967	0.15
Lepus_americanus	4552	1967	0.35
Spermophilus_franklinii	4553	1967	2.3
Erethizon_dorsata	4554	1967	0.3
Mephitis_mephitis	4556	1967	0.3
Myodes_gapperi	4560	1967	6
Sorex_cinereus	4587	1967	0
Napaeozapus_insignis	4588	1967	4
Tamias_striatus	4590	1967	8
Blarina_brevicauda	4591	1967	1
Myotis_sodalis	4625	1967	1500
Canis_lupus	4809	1967	22
Vulpes_vulpes	5086	1967	2.8
Canis_latrans	5087	1967	0.9
Vulpes_vulpes	5088	1967	0.8
Vulpes_vulpes	5090	1967	1.9
Blarina_brevicauda	5821	1967	1.2
Lemmus_trimucronatus	5836	1967	3
Marmota_flaviventris	5841	1967	1
Marmota_flaviventris	5842	1967	7
Marmota_flaviventris	5843	1967	3
Marmota_flaviventris	5844	1967	3
Microtus_californicus	6270	1967	32.5
Microtus_californicus	6271	1967	19
Alces_americanus	3405	1968	1030
Canis_latrans	3421	1968	0.135
Myodes_gapperi	3426	1968	0.7
Martes_americana	3433	1968	139
Napaeozapus_insignis	3445	1968	1.15
Spermophilus_franklinii	3470	1968	0
Spermophilus_tridecemlineatus	3471	1968	24.1
Tamias_minimus	3472	1968	5.3
Tamias_striatus	3473	1968	1
Tamias_striatus	3474	1968	39
Tamiasciurus_hudsonicus	3475	1968	12
Vulpes_vulpes	3488	1968	4.4
Mustela_erminea	4543	1968	0.38
Mustela_frenata	4547	1968	0.2
Neovison_vison	4549	1968	0.22
Tamiasciurus_hudsonicus	4550	1968	15.8
Glaucomys_sabrinus	4551	1968	0.65
Lepus_americanus	4552	1968	1
Spermophilus_franklinii	4553	1968	1.3
Erethizon_dorsata	4554	1968	0.82
Mephitis_mephitis	4556	1968	1.3
Myodes_gapperi	4560	1968	21
Sorex_cinereus	4587	1968	2
Napaeozapus_insignis	4588	1968	0
Tamias_striatus	4590	1968	11
Blarina_brevicauda	4591	1968	2
Myotis_sodalis	4625	1968	1380
Canis_lupus	4809	1968	22
Canis_latrans	5085	1968	0.2
Vulpes_vulpes	5086	1968	2.4
Canis_latrans	5087	1968	1.8
Vulpes_vulpes	5088	1968	1.8
Vulpes_vulpes	5090	1968	2.2
Blarina_brevicauda	5821	1968	2.35
Lemmus_trimucronatus	5836	1968	4
Marmota_flaviventris	5841	1968	0
Marmota_flaviventris	5842	1968	7.5
Marmota_flaviventris	5843	1968	2
Marmota_flaviventris	5844	1968	4.5
Microtus_californicus	6270	1968	34.66667
Microtus_californicus	6271	1968	33.66667
Ursus_americanus	14541	1968	84
Alces_americanus	3405	1969	1250
Canis_latrans	3421	1969	0.4
Myodes_gapperi	3426	1969	0.1
Martes_americana	3433	1969	228
Napaeozapus_insignis	3445	1969	0.2
Spermophilus_franklinii	3470	1969	2.8
Spermophilus_tridecemlineatus	3471	1969	9.1
Tamias_minimus	3472	1969	4.2
