Binomial	ID	year	Popvalue
EasternEurope_Marshesonpeatsoils	30	1700	20000
EasternEurope_Marshesonpeatsoils	30	1990	5500
EasternEurope_Marshesonpeatsoils	30	2008	5140
EasternEurope_Marshesonpeatsoils	37	1700	4000
EasternEurope_Marshesonpeatsoils	37	1990	3200
EasternEurope_Marshesonpeatsoils	37	2008	2975
EasternEurope_Marshesonpeatsoils	384	1700	50000
EasternEurope_Marshesonpeatsoils	384	1990	45000
EasternEurope_Marshesonpeatsoils	384	2008	44325
EasternEurope_Marshesonpeatsoils	869	1700	24300000
EasternEurope_Marshesonpeatsoils	869	1990	21300000
EasternEurope_Marshesonpeatsoils	869	2008	19941000
EasternEurope_Marshesonpeatsoils	1053	1700	1100000
EasternEurope_Marshesonpeatsoils	1053	1990	800000
EasternEurope_Marshesonpeatsoils	1053	2008	765620
Nordic_Marshesonpeatsoils	298	1700	1000000
Nordic_Marshesonpeatsoils	298	1990	140000
Nordic_Marshesonpeatsoils	298	2008	127625
Nordic_Marshesonpeatsoils	345	1700	3000
Nordic_Marshesonpeatsoils	345	1990	3000
Nordic_Marshesonpeatsoils	345	2008	2946
Nordic_Marshesonpeatsoils	350	1700	9600000
Nordic_Marshesonpeatsoils	350	1990	8500000
Nordic_Marshesonpeatsoils	350	2008	7942900
Nordic_Marshesonpeatsoils	399	1700	1000
Nordic_Marshesonpeatsoils	399	1990	1000
Nordic_Marshesonpeatsoils	399	2008	1000
Nordic_Marshesonpeatsoils	471	1700	1800000
Nordic_Marshesonpeatsoils	471	1990	1400000
Nordic_Marshesonpeatsoils	471	2008	1336550
Nordic_Marshesonpeatsoils	770	1700	3200000
Nordic_Marshesonpeatsoils	770	1990	3000000
Nordic_Marshesonpeatsoils	770	2008	2968545
Nordic_Marshesonpeatsoils	973	1700	1000
Nordic_Marshesonpeatsoils	973	1990	1000
Nordic_Marshesonpeatsoils	973	2008	1000
Nordic_Marshesonpeatsoils	978	1700	7000000
Nordic_Marshesonpeatsoils	978	1990	6680000
Nordic_Marshesonpeatsoils	978	2008	6562280
NortheastEurope_Marshesonpeatsoils	58	1700	2939000
NortheastEurope_Marshesonpeatsoils	58	1990	2397600
NortheastEurope_Marshesonpeatsoils	58	2008	2235150
NortheastEurope_Marshesonpeatsoils	340	1700	1100000
NortheastEurope_Marshesonpeatsoils	340	1990	1000000
NortheastEurope_Marshesonpeatsoils	340	2008	943030
NortheastEurope_Marshesonpeatsoils	341	1950	836700
NortheastEurope_Marshesonpeatsoils	341	1990	305400
NortheastEurope_Marshesonpeatsoils	555	1700	700000
NortheastEurope_Marshesonpeatsoils	555	1990	660000
NortheastEurope_Marshesonpeatsoils	555	2008	639030
NortheastEurope_Marshesonpeatsoils	571	1700	480000
NortheastEurope_Marshesonpeatsoils	571	1990	352000
NortheastEurope_Marshesonpeatsoils	571	2008	327880
NortheastEurope_Marshesonpeatsoils	820	1700	2000000
NortheastEurope_Marshesonpeatsoils	820	1990	1250000
NortheastEurope_Marshesonpeatsoils	820	2008	1152800
NortheastEurope_Marshesonpeatsoils	926	1700	26000
NortheastEurope_Marshesonpeatsoils	926	1990	13000
NortheastEurope_Marshesonpeatsoils	926	2008	11839
NorthwestEurope_Flowingwater	900	1940	22900
NorthwestEurope_Flowingwater	900	1970	22400
