Binomial	ID	year	popvalue
Tiliqua_rugosa	11973	1978	343.7
Gavialis_gangeticus	5678	1979	107
Tiliqua_rugosa	11973	1979	395.5
Tiliqua_rugosa	11973	1980	390.4
Tiliqua_rugosa	11973	1981	313.5
Gavialis_gangeticus	5678	1985	605
Leiopelma_pakeka	642	1988	211
Gavialis_gangeticus	5678	1988	820
Oligosoma_whitakeri	10385	1988	18
Leiopelma_pakeka	11325	1988	87
Leiopelma_pakeka	642	1989	215
Oligosoma_whitakeri	10385	1989	15.2509
Leiopelma_pakeka	11325	1989	91
Gavialis_gangeticus	5678	1990	982
Oligosoma_whitakeri	10385	1990	19.6349
Oligosoma_whitakeri	10385	1991	20.3064
Ctenotus_schomburgkii	11316	1991	79
Ctenotus_leonhardii	11317	1991	39
Ctenotus_regius	11318	1991	97
Lucasium_stenodactylum	11319	1991	30
Rhynchoedura_ornata	11320	1991	245
Diplodactylus_conspicillatus	11321	1991	87
Gavialis_gangeticus	5678	1992	1065
Oligosoma_alani	10383	1992	4.0654
Oligosoma_whitakeri	10385	1992	20.1628
Oligosoma_suteri	10386	1992	30.3736
Ctenotus_schomburgkii	11316	1992	154
Ctenotus_leonhardii	11317	1992	86
Ctenotus_regius	11318	1992	313
Lucasium_stenodactylum	11319	1992	37
Rhynchoedura_ornata	11320	1992	299
Diplodactylus_conspicillatus	11321	1992	63
Leiopelma_pakeka	642	1993	266
Amalosia_lesueurii	8516	1993	60
Oligosoma_alani	10383	1993	12.0352
Oligosoma_whitakeri	10385	1993	21.016
Oligosoma_suteri	10386	1993	21.4653
Ctenotus_schomburgkii	11316	1993	145
Ctenotus_leonhardii	11317	1993	78
Ctenotus_regius	11318	1993	178
Lucasium_stenodactylum	11319	1993	71
Rhynchoedura_ornata	11320	1993	317
Diplodactylus_conspicillatus	11321	1993	111
Leiopelma_pakeka	11325	1993	97
Leiopelma_pakeka	642	1994	275
Amalosia_lesueurii	8516	1994	58
Oligosoma_alani	10383	1994	9.6421
Oligosoma_whitakeri	10385	1994	20.9633
Oligosoma_suteri	10386	1994	21.4075
Ctenotus_schomburgkii	11316	1994	109
Ctenotus_leonhardii	11317	1994	81
Ctenotus_regius	11318	1994	397
Lucasium_stenodactylum	11319	1994	53
Rhynchoedura_ornata	11320	1994	276
Diplodactylus_conspicillatus	11321	1994	83
Leiopelma_pakeka	11325	1994	100
Amalosia_lesueurii	8516	1995	61
Oligosoma_alani	10383	1995	9.6226
Oligosoma_whitakeri	10385	1995	25.439
Oligosoma_suteri	10386	1995	29.7988
Ctenotus_schomburgkii	11316	1995	102
Ctenotus_leonhardii	11317	1995	74
Ctenotus_regius	11318	1995	273
Lucasium_stenodactylum	11319	1995	35
Rhynchoedura_ornata	11320	1995	251
Diplodactylus_conspicillatus	11321	1995	68
Leiopelma_pakeka	642	1996	298
Oligosoma_alani	10383	1996	9.5796
Oligosoma_whitakeri	10385	1996	26.9255
Oligosoma_suteri	10386	1996	39.3968
Ctenotus_schomburgkii	11316	1996	123
Ctenotus_leonhardii	11317	1996	65
Ctenotus_regius	11318	1996	83
Lucasium_stenodactylum	11319	1996	51
Rhynchoedura_ornata	11320	1996	296
Diplodactylus_conspicillatus	11321	1996	70
Leiopelma_pakeka	11325	1996	115
Leiopelma_pakeka	642	1997	278
Oligosoma_alani	10383	1997	12.7326
Oligosoma_whitakeri	10385	1997	24.2469
Oligosoma_suteri	10386	1997	52.2131
Notechis_scutatus	10407	1997	99
Ctenotus_schomburgkii	11316	1997	170
Ctenotus_leonhardii	11317	1997	169
Ctenotus_regius	11318	1997	338
Lucasium_stenodactylum	11319	1997	85
Rhynchoedura_ornata	11320	1997	224
Diplodactylus_conspicillatus	11321	1997	93
Leiopelma_pakeka	11325	1997	111
Leiopelma_pakeka	642	1998	295
Brachylophus_vitiensis	8467	1998	13
Oligosoma_alani	10383	1998	9.8931
Oligosoma_whitakeri	10385	1998	26.4579
Oligosoma_suteri	10386	1998	59.1958
Notechis_scutatus	10407	1998	156
Ctenotus_schomburgkii	11316	1998	138
Ctenotus_leonhardii	11317	1998	76
Ctenotus_regius	11318	1998	275
Lucasium_stenodactylum	11319	1998	76
Rhynchoedura_ornata	11320	1998	240
Diplodactylus_conspicillatus	11321	1998	90
Leiopelma_pakeka	642	1999	271
Oligosoma_whitakeri	10385	1999	28.9407
Notechis_scutatus	10407	1999	173
Ctenotus_schomburgkii	11316	1999	89
Ctenotus_leonhardii	11317	1999	75
Ctenotus_regius	11318	1999	67
Lucasium_stenodactylum	11319	1999	60
Rhynchoedura_ornata	11320	1999	200
Diplodactylus_conspicillatus	11321	1999	82
Leiopelma_pakeka	11325	1999	112
Leiopelma_pakeka	642	2000	275
Brachylophus_vitiensis	8467	2000	2
Notechis_scutatus	10407	2000	120
Ctenotus_schomburgkii	11316	2000	157
Ctenotus_leonhardii	11317	2000	72
Ctenotus_regius	11318	2000	130
Lucasium_stenodactylum	11319	2000	63
Rhynchoedura_ornata	11320	2000	204
Diplodactylus_conspicillatus	11321	2000	104
Leiopelma_pakeka	11325	2000	116
Leiopelma_pakeka	642	2001	268
Sphenodon_punctatus	4953	2001	60
Sphenodon_punctatus	4954	2001	68
Notechis_scutatus	10407	2001	193
Ctenotus_schomburgkii	11316	2001	197
Ctenotus_leonhardii	11317	2001	192
Ctenotus_regius	11318	2001	188
Lucasium_stenodactylum	11319	2001	53
Rhynchoedura_ornata	11320	2001	186
Diplodactylus_conspicillatus	11321	2001	88
Leiopelma_pakeka	11325	2001	110
Leiopelma_pakeka	642	2002	202
Eleutherodactylus_coqui	7661	2002	7413
Notechis_scutatus	10407	2002	104
Ctenotus_schomburgkii	11316	2002	129
Ctenotus_leonhardii	11317	2002	98
Ctenotus_regius	11318	2002	100
Lucasium_stenodactylum	11319	2002	74
Rhynchoedura_ornata	11320	2002	244
Diplodactylus_conspicillatus	11321	2002	100
Leiopelma_pakeka	11325	2002	114
Eleutherodactylus_coqui	7661	2003	11713
Brachylophus_vitiensis	8467	2003	3.4
Notechis_scutatus	10407	2003	131
Chlamydosaurus_kingii	11212	2003	0.182
Chlamydosaurus_kingii	11213	2003	0.287
Chlamydosaurus_kingii	11214	2003	0.05
Ctenotus_schomburgkii	11316	2003	138
Ctenotus_leonhardii	11317	2003	89
Ctenotus_regius	11318	2003	173
Lucasium_stenodactylum	11319	2003	73
Rhynchoedura_ornata	11320	2003	211
Diplodactylus_conspicillatus	11321	2003	56
Eleutherodactylus_coqui	8694	2004	63
